index,address,longitude,lat,locality,store_code,staff_numbers,opening_date,store_type,latitude,country_code,continent
0,N/A,N/A,N/A,N/A,WEB-1388012W,325,2010-06-12,Web Portal,,GB,Europe
1,"Flat 72W
Sally isle
East Deantown
E7B 8EB, High Wycombe",51.62907,,High Wycombe,HI-9B97EE4E,34,1996-10-25,Local,-0.74934,GB,Europe
2,"Heckerstraße 4/5
50491 Säckingen, Landshut",48.52961,,Landshut,LA-0772C7B9,92,2013-04-12,Super Store,12.16179,DE,Europe
3,"5 Harrison tunnel
South Lydia
WC9 2BE, Westbury",51.26,,Westbury,WE-1DE82CEE,69,2014-01-02,Super Store,-2.1875,GB,Europe
4,"Studio 6
Stephen landing
South Simon
B77 2WA, Belper",53.0233,,Belper,BE-18074576,35,2019-09-09,Local,-1.48119,GB,Europe
5,"Flat 92u
Christian harbors
Port Charlotte
N57 8FJ, Gainsborough",53.38333,,Gainsborough,GA-CAD01AC2,36,1995-05-15,Local,-0.76667,GB,Europe
6,"7 Gillian rue
West Robertside
PH4 8NY, Rutherglen",55.82885,,Rutherglen,RU-C603E990,92,2001-01-04,Super Store,-4.21376,GB,Europe
7,"Lilija-Heß-Allee 660
34566 Regensburg, Stuttgart",48.78232,,Stuttgart,ST-229D997E,34,2000-06-01,Local,9.17702,DE,Europe
8,"510 Jill Mill
South Laura, FL 38723, Kaukauna",44.27804,,Kaukauna,KA-FA7ED3B8,31,2022-09-05,Local,-88.27205,US,America
9,"3 Lee valleys
West Janetview
DY4M 2RL, Hartley",51.38673,,Hartley,HA-974352FE,20,2004-09-11,Local,0.30367,GB,Europe
10,"8 Gareth skyway
Simmonsview
SW4 7PL, Rutherglen",55.82885,,Rutherglen,RU-9F1136B4,32,October 2012 08,Local,-4.21376,GB,Europe
11,"Bergerstr. 1/3
59183 Seelow, Siegburg",50.80019,,Siegburg,SI-ECD52CD9,25,July 2015 14,Local,7.20769,DE,Europe
12,"Flat 37
Bennett expressway
New Charlotte
SY8R 5WE, Devizes",51.35084,,Devizes,DE-585399CF,36,2014-10-11,Local,-1.99421,GB,Europe
13,"520 Fisher Inlet Suite 594
Port Eric, IL 71753, Crystal Lake",42.24113,,Crystal Lake,CR-792AA8BB,138,2018-04-05,Super Store,-88.3162,US,America
14,"Herma-Rädel-Gasse 29
74557 Fulda, Halstenbek",53.63333,,Halstenbek,HA-39A446E2,38,1994-03-08,Local,9.85,DE,Europe
15,"4 Teresa lodge
West Mathewchester
SP39 3UZ, Lancing",50.82882,,Lancing,LA-9B0D9277,39,2020-06-05,Local,-0.32247,GB,Europe
16,"74 Mills route
Laurahaven
PL4R 6HA, Newbury",51.40148,,Newbury,NE-1D8B1D0C,33,2004-05-02,Local,-1.32471,GB,Europe
17,"9 Ryan springs
Lake Allan
E0 1AW, Lymington",50.75767,,Lymington,LY-4C3D5D6C,36,2016-02-12,Local,-1.5443,GB,eeEurope
18,"Studio 80d
Holly cliffs
Ianport
G4F 4HR, Chapletown",53.46506,,Chapletown,CH-6A561423,34,2008-01-21,Local,-1.47217,GB,Europe
19,"59 Lee drives
Georginaview
OL93 1GX, Barnet",51.65,,Barnet,BA-898BDED3,109,2022-08-01,Super Store,-0.2,GB,Europe
20,"Flat 83
Shirley parkway
Sylviashire
N0 5AQ, East Dereham",52.68333,,East Dereham,EA-77ECA680,8,1994-08-12,Mall Kiosk,0.93333,GB,Europe
